id	confirmed	deaths	recovered	date	url	pays
215	0	0	0	2020-02-09	DZA	Algeria
216	0	0	0	2020-01-29	DZA	Algeria
217	0	0	0	2020-02-15	DZA	Algeria
218	0	0	0	2020-02-07	DZA	Algeria
219	1320	152	90	2020-04-05	DZA	Algeria
220	0	0	0	2020-01-27	DZA	Algeria
221	0	0	0	2020-02-14	DZA	Algeria
222	0	0	0	2020-02-17	DZA	Algeria
223	12	0	0	2020-03-04	DZA	Algeria
224	2811	392	1152	2020-04-21	DZA	Algeria
225	0	0	0	2020-02-01	DZA	Algeria
226	1983	313	601	2020-04-13	DZA	Algeria
227	0	0	0	2020-02-13	DZA	Algeria
228	847	58	61	2020-04-01	DZA	Algeria
229	60	4	12	2020-03-17	DZA	Algeria
230	2910	402	1204	2020-04-22	DZA	Algeria
231	716	44	46	2020-03-31	DZA	Algeria
232	0	0	0	2020-02-11	DZA	Algeria
233	2160	336	708	2020-04-15	DZA	Algeria
234	1	0	0	2020-02-26	DZA	Algeria
235	24	1	8	2020-03-12	DZA	Algeria
236	1	0	0	2020-02-28	DZA	Algeria
237	37	3	12	2020-03-14	DZA	Algeria
238	0	0	0	2020-02-02	DZA	Algeria
239	26	2	8	2020-03-13	DZA	Algeria
240	5	0	0	2020-03-03	DZA	Algeria
241	12	0	0	2020-03-05	DZA	Algeria
242	0	0	0	2020-01-26	DZA	Algeria
243	20	0	0	2020-03-10	DZA	Algeria
244	0	0	0	2020-02-22	DZA	Algeria
245	0	0	0	2020-02-10	DZA	Algeria
246	1914	293	591	2020-04-12	DZA	Algeria
247	48	4	12	2020-03-15	DZA	Algeria
248	0	0	0	2020-01-28	DZA	Algeria
249	74	7	12	2020-03-18	DZA	Algeria
250	1666	235	347	2020-04-09	DZA	Algeria
251	3	0	0	2020-03-02	DZA	Algeria
252	0	0	0	2020-01-23	DZA	Algeria
253	20	0	0	2020-03-09	DZA	Algeria
254	0	0	0	2020-01-24	DZA	Algeria
255	0	0	0	2020-01-25	DZA	Algeria
256	264	19	24	2020-03-24	DZA	Algeria
257	0	0	0	2020-01-30	DZA	Algeria
258	0	0	0	2020-02-12	DZA	Algeria
259	2070	326	691	2020-04-14	DZA	Algeria
260	17	0	0	2020-03-07	DZA	Algeria
261	2268	348	783	2020-04-16	DZA	Algeria
262	0	0	0	2020-02-19	DZA	Algeria
263	90	11	32	2020-03-20	DZA	Algeria
264	0	0	0	2020-01-31	DZA	Algeria
265	139	15	32	2020-03-21	DZA	Algeria
266	986	86	61	2020-04-02	DZA	Algeria
267	3007	407	1355	2020-04-23	DZA	Algeria
268	230	17	65	2020-03-23	DZA	Algeria
269	1	0	0	2020-02-25	DZA	Algeria
270	409	26	29	2020-03-27	DZA	Algeria
271	19	0	0	2020-03-08	DZA	Algeria
272	1572	205	237	2020-04-08	DZA	Algeria
273	0	0	0	2020-02-05	DZA	Algeria
274	20	0	0	2020-03-11	DZA	Algeria
275	2418	364	846	2020-04-17	DZA	Algeria
276	2534	367	894	2020-04-18	DZA	Algeria
277	1468	193	113	2020-04-07	DZA	Algeria
278	0	0	0	2020-02-20	DZA	Algeria
279	367	25	29	2020-03-26	DZA	Algeria
280	1171	105	62	2020-04-03	DZA	Algeria
281	201	17	65	2020-03-22	DZA	Algeria
282	2629	375	1047	2020-04-19	DZA	Algeria
283	75	0	1	2020-03-20	AND	Andorra
284	2	0	1	2020-03-16	AND	Andorra
285	0	0	0	2020-02-13	AND	Andorra
286	646	29	128	2020-04-13	AND	Andorra
287	0	0	0	2020-02-15	AND	Andorra
288	39	0	1	2020-03-18	AND	Andorra
289	0	0	0	2020-02-06	AND	Andorra
290	1	0	1	2020-03-12	AND	Andorra
291	0	0	0	2020-01-27	AND	Andorra
292	601	26	71	2020-04-10	AND	Andorra
293	501	18	26	2020-04-05	AND	Andorra
294	0	0	0	2020-02-29	AND	Andorra
295	0	0	0	2020-02-01	AND	Andorra
296	0	0	0	2020-02-17	AND	Andorra
297	1	0	0	2020-03-13	AND	Andorra
298	638	29	128	2020-04-12	AND	Andorra
299	0	0	0	2020-02-28	AND	Andorra
300	164	1	1	2020-03-24	AND	Andorra
301	376	12	10	2020-03-31	AND	Andorra
302	0	0	0	2020-01-24	AND	Andorra
303	308	3	1	2020-03-28	AND	Andorra
304	466	17	21	2020-04-04	AND	Andorra
305	0	0	0	2020-02-10	AND	Andorra
306	0	0	0	2020-02-24	AND	Andorra
307	0	0	0	2020-02-19	AND	Andorra
308	0	0	0	2020-02-11	AND	Andorra
309	1	0	0	2020-03-10	AND	Andorra
310	583	25	58	2020-04-09	AND	Andorra
311	0	0	0	2020-01-30	AND	Andorra
312	0	0	0	2020-02-18	AND	Andorra
313	1	0	0	2020-03-03	AND	Andorra
314	1	0	0	2020-03-06	AND	Andorra
315	53	0	1	2020-03-19	AND	Andorra
316	659	31	128	2020-04-14	AND	Andorra
317	0	0	0	2020-01-22	AND	Andorra
318	1	0	1	2020-03-15	AND	Andorra
319	0	0	0	2020-02-12	AND	Andorra
320	88	0	1	2020-03-21	AND	Andorra
321	0	0	0	2020-01-31	AND	Andorra
322	0	0	0	2020-01-25	AND	Andorra
323	673	33	169	2020-04-15	AND	Andorra
324	39	0	1	2020-03-17	AND	Andorra
325	673	33	169	2020-04-16	AND	Andorra
326	0	0	0	2020-02-08	AND	Andorra
327	0	0	0	2020-02-16	AND	Andorra
328	439	16	16	2020-04-03	AND	Andorra
329	0	0	0	2020-02-26	AND	Andorra
330	1	0	0	2020-03-11	AND	Andorra
331	564	23	52	2020-04-08	AND	Andorra
332	1	0	0	2020-03-04	AND	Andorra
333	0	0	0	2020-02-05	AND	Andorra
334	113	1	1	2020-03-22	AND	Andorra
335	0	0	0	2020-02-21	AND	Andorra
336	0	0	0	2020-01-23	AND	Andorra
337	0	0	0	2020-01-28	AND	Andorra
338	0	0	0	2020-02-02	AND	Andorra
339	0	0	0	2020-02-14	AND	Andorra
340	1	0	0	2020-03-07	AND	Andorra
341	1	0	1	2020-03-14	AND	Andorra
342	713	36	235	2020-04-19	AND	Andorra
343	704	35	205	2020-04-18	AND	Andorra
344	0	0	0	2020-02-23	AND	Andorra
345	545	22	39	2020-04-07	AND	Andorra
346	0	0	0	2020-02-03	AND	Andorra
347	0	0	0	2020-01-26	AND	Andorra
348	1	0	0	2020-03-08	AND	Andorra
349	0	0	0	2020-02-07	AND	Andorra
350	0	0	0	2020-02-04	AND	Andorra
351	525	21	31	2020-04-06	AND	Andorra
352	0	0	0	2020-02-20	AND	Andorra
353	428	15	10	2020-04-02	AND	Andorra
354	0	0	0	2020-02-25	AND	Andorra
355	0	0	0	2020-02-09	AND	Andorra
356	1	0	0	2020-03-02	AND	Andorra
357	0	0	0	2020-02-27	AND	Andorra
358	717	37	248	2020-04-20	AND	Andorra
359	390	14	10	2020-04-01	AND	Andorra
360	723	37	333	2020-04-23	AND	Andorra
361	0	0	0	2020-02-22	AND	Andorra
362	723	37	309	2020-04-22	AND	Andorra
363	0	0	0	2020-03-01	AND	Andorra
364	334	6	1	2020-03-29	AND	Andorra
365	601	26	71	2020-04-11	AND	Andorra
366	0	0	0	2020-01-29	AND	Andorra
367	224	3	1	2020-03-26	AND	Andorra
368	1	0	0	2020-03-05	AND	Andorra
369	267	3	1	2020-03-27	AND	Andorra
370	370	8	10	2020-03-30	AND	Andorra
371	696	35	191	2020-04-17	AND	Andorra
372	133	1	1	2020-03-23	AND	Andorra
373	731	40	344	2020-04-24	AND	Andorra
374	717	37	282	2020-04-21	AND	Andorra
375	1	0	0	2020-03-09	AND	Andorra
376	188	1	1	2020-03-25	AND	Andorra
377	0	0	0	2020-02-27	AGO	Angola
378	19	2	5	2020-04-14	AGO	Angola
379	0	0	0	2020-01-31	AGO	Angola
380	0	0	0	2020-02-03	AGO	Angola
381	0	0	0	2020-02-02	AGO	Angola
382	19	2	2	2020-04-10	AGO	Angola
383	3	0	0	2020-03-24	AGO	Angola
384	0	0	0	2020-02-29	AGO	Angola
385	8	2	1	2020-04-02	AGO	Angola
386	0	0	0	2020-02-04	AGO	Angola
387	10	2	2	2020-04-04	AGO	Angola
388	0	0	0	2020-03-05	AGO	Angola
389	1	0	0	2020-03-20	AGO	Angola
390	4	0	0	2020-03-26	AGO	Angola
391	14	2	2	2020-04-05	AGO	Angola
392	0	0	0	2020-02-15	AGO	Angola
393	0	0	0	2020-02-28	AGO	Angola
394	24	2	6	2020-04-21	AGO	Angola
395	0	0	0	2020-03-19	AGO	Angola
396	8	2	1	2020-04-01	AGO	Angola
397	0	0	0	2020-01-28	AGO	Angola
398	0	0	0	2020-02-20	AGO	Angola
399	4	0	0	2020-03-27	AGO	Angola
400	0	0	0	2020-03-03	AGO	Angola
401	19	2	2	2020-04-08	AGO	Angola
402	24	2	6	2020-04-20	AGO	Angola
403	0	0	0	2020-03-07	AGO	Angola
404	0	0	0	2020-03-06	AGO	Angola
405	0	0	0	2020-02-18	AGO	Angola
406	0	0	0	2020-02-07	AGO	Angola
407	3	0	0	2020-03-23	AGO	Angola
408	0	0	0	2020-02-11	AGO	Angola
409	2	0	0	2020-03-21	AGO	Angola
410	0	0	0	2020-03-13	AGO	Angola
411	0	0	0	2020-03-18	AGO	Angola
412	0	0	0	2020-01-30	AGO	Angola
413	0	0	0	2020-03-04	AGO	Angola
414	25	2	6	2020-04-22	AGO	Angola
415	19	2	4	2020-04-13	AGO	Angola
416	0	0	0	2020-02-17	AGO	Angola
417	0	0	0	2020-02-01	AGO	Angola
418	3	0	0	2020-03-25	AGO	Angola
419	19	2	4	2020-04-12	AGO	Angola
420	0	0	0	2020-02-06	AGO	Angola
421	25	2	6	2020-04-23	AGO	Angola
422	0	0	0	2020-03-09	AGO	Angola
423	0	0	0	2020-01-29	AGO	Angola
424	0	0	0	2020-01-26	AGO	Angola
425	8	2	1	2020-04-03	AGO	Angola
426	0	0	0	2020-02-12	AGO	Angola
427	0	0	0	2020-02-16	AGO	Angola
428	5	0	0	2020-03-28	AGO	Angola
429	19	2	5	2020-04-17	AGO	Angola
430	0	0	0	2020-03-16	AGO	Angola
431	0	0	0	2020-02-25	AGO	Angola
432	0	0	0	2020-01-25	AGO	Angola
433	0	0	0	2020-03-15	AGO	Angola
434	0	0	0	2020-01-23	AGO	Angola
435	0	0	0	2020-02-24	AGO	Angola
436	7	2	0	2020-03-29	AGO	Angola
437	0	0	0	2020-02-09	AGO	Angola
438	0	0	0	2020-03-08	AGO	Angola
439	0	0	0	2020-02-22	AGO	Angola
440	0	0	0	2020-03-02	AGO	Angola
441	0	0	0	2020-02-26	AGO	Angola
442	0	0	0	2020-02-19	AGO	Angola
443	19	2	5	2020-04-16	AGO	Angola
444	0	0	0	2020-03-14	AGO	Angola
445	0	0	0	2020-02-23	AGO	Angola
446	0	0	0	2020-03-12	AGO	Angola
447	0	0	0	2020-01-27	AGO	Angola
448	0	0	0	2020-03-17	AGO	Angola
449	24	2	6	2020-04-18	AGO	Angola
450	19	2	5	2020-04-15	AGO	Angola
451	25	2	6	2020-04-24	AGO	Angola
452	0	0	0	2020-03-11	AGO	Angola
453	17	2	2	2020-04-07	AGO	Angola
454	2	0	0	2020-03-22	AGO	Angola
455	0	0	0	2020-01-22	AGO	Angola
456	0	0	0	2020-01-24	AGO	Angola
457	16	2	2	2020-04-06	AGO	Angola
458	0	0	0	2020-02-08	AGO	Angola
459	0	0	0	2020-03-01	AGO	Angola
460	0	0	0	2020-02-13	AGO	Angola
461	0	0	0	2020-02-14	AGO	Angola
462	7	2	0	2020-03-30	AGO	Angola
463	0	0	0	2020-02-21	AGO	Angola
464	7	2	1	2020-03-31	AGO	Angola
465	24	2	6	2020-04-19	AGO	Angola
466	0	0	0	2020-02-10	AGO	Angola
467	19	2	2	2020-04-09	AGO	Angola
468	0	0	0	2020-03-10	AGO	Angola
469	0	0	0	2020-02-05	AGO	Angola
470	19	2	4	2020-04-11	AGO	Angola
471	0	0	0	2020-02-23	ATG	Antigua and Barbuda
472	7	0	0	2020-03-27	ATG	Antigua and Barbuda
473	0	0	0	2020-03-11	ATG	Antigua and Barbuda
474	0	0	0	2020-03-09	ATG	Antigua and Barbuda
475	0	0	0	2020-02-27	ATG	Antigua and Barbuda
476	19	2	0	2020-04-08	ATG	Antigua and Barbuda
477	0	0	0	2020-03-05	ATG	Antigua and Barbuda
478	0	0	0	2020-02-29	ATG	Antigua and Barbuda
479	1	0	0	2020-03-17	ATG	Antigua and Barbuda
480	0	0	0	2020-01-27	ATG	Antigua and Barbuda
481	7	0	0	2020-04-01	ATG	Antigua and Barbuda
482	24	3	10	2020-04-22	ATG	Antigua and Barbuda
483	0	0	0	2020-02-22	ATG	Antigua and Barbuda
484	0	0	0	2020-02-16	ATG	Antigua and Barbuda
485	15	0	0	2020-04-03	ATG	Antigua and Barbuda
486	0	0	0	2020-01-30	ATG	Antigua and Barbuda
487	7	0	0	2020-03-28	ATG	Antigua and Barbuda
488	0	0	0	2020-02-26	ATG	Antigua and Barbuda
489	0	0	0	2020-02-06	ATG	Antigua and Barbuda
490	0	0	0	2020-01-23	ATG	Antigua and Barbuda
491	0	0	0	2020-02-08	ATG	Antigua and Barbuda
492	0	0	0	2020-02-11	ATG	Antigua and Barbuda
493	0	0	0	2020-03-08	ATG	Antigua and Barbuda
494	0	0	0	2020-02-24	ATG	Antigua and Barbuda
495	0	0	0	2020-02-04	ATG	Antigua and Barbuda
496	0	0	0	2020-03-04	ATG	Antigua and Barbuda
497	3	0	0	2020-03-25	ATG	Antigua and Barbuda
498	0	0	0	2020-01-24	ATG	Antigua and Barbuda
499	23	3	7	2020-04-21	ATG	Antigua and Barbuda
500	19	1	0	2020-04-07	ATG	Antigua and Barbuda
501	0	0	0	2020-02-19	ATG	Antigua and Barbuda
502	3	0	0	2020-03-23	ATG	Antigua and Barbuda
503	23	2	3	2020-04-14	ATG	Antigua and Barbuda
504	0	0	0	2020-01-29	ATG	Antigua and Barbuda
505	0	0	0	2020-01-26	ATG	Antigua and Barbuda
506	0	0	0	2020-02-10	ATG	Antigua and Barbuda
507	0	0	0	2020-02-12	ATG	Antigua and Barbuda
508	23	3	3	2020-04-20	ATG	Antigua and Barbuda
509	9	0	0	2020-04-02	ATG	Antigua and Barbuda
510	1	0	0	2020-03-14	ATG	Antigua and Barbuda
511	0	0	0	2020-03-10	ATG	Antigua and Barbuda
