id	dep	sexe	jour	actue_hospit	actu_rea	recovered	deaths
393	"2B"	2	"2020-03-19"	0	0	0	0
394	"30"	0	"2020-03-19"	4	1	7	1
395	"30"	1	"2020-03-19"	4	1	2	1
396	"30"	2	"2020-03-19"	0	0	5	0
397	"31"	0	"2020-03-19"	26	6	13	1
398	"31"	1	"2020-03-19"	18	5	5	0
399	"31"	2	"2020-03-19"	8	1	8	1
400	"32"	0	"2020-03-19"	3	3	0	0
401	"32"	1	"2020-03-19"	3	3	0	0
402	"32"	2	"2020-03-19"	0	0	0	0
403	"33"	0	"2020-03-19"	7	5	7	2
404	"33"	1	"2020-03-19"	5	4	3	1
405	"33"	2	"2020-03-19"	2	1	4	1
406	"34"	0	"2020-03-19"	49	18	21	4
407	"34"	1	"2020-03-19"	26	11	11	2
408	"34"	2	"2020-03-19"	23	7	10	2
409	"35"	0	"2020-03-19"	16	8	15	0
410	"35"	1	"2020-03-19"	12	6	6	0
411	"35"	2	"2020-03-19"	4	2	9	0
412	"36"	0	"2020-03-19"	3	0	0	0
413	"36"	1	"2020-03-19"	2	0	0	0
414	"36"	2	"2020-03-19"	1	0	0	0
415	"37"	0	"2020-03-19"	6	3	0	0
416	"37"	1	"2020-03-19"	4	2	0	0
417	"37"	2	"2020-03-19"	2	1	0	0
418	"38"	0	"2020-03-19"	22	2	3	1
419	"38"	1	"2020-03-19"	12	1	1	1
420	"38"	2	"2020-03-19"	10	1	2	0
421	"39"	0	"2020-03-19"	2	1	1	0
422	"39"	1	"2020-03-19"	1	0	1	0
423	"39"	2	"2020-03-19"	1	1	0	0
424	"40"	0	"2020-03-19"	0	0	0	0
425	"40"	1	"2020-03-19"	0	0	0	0
426	"40"	2	"2020-03-19"	0	0	0	0
427	"41"	0	"2020-03-19"	2	0	1	0
428	"41"	1	"2020-03-19"	0	0	1	0
429	"41"	2	"2020-03-19"	2	0	0	0
430	"42"	0	"2020-03-19"	48	18	8	3
431	"42"	1	"2020-03-19"	33	16	6	3
432	"42"	2	"2020-03-19"	15	2	2	0
433	"43"	0	"2020-03-19"	1	1	5	0
434	"43"	1	"2020-03-19"	1	1	2	0
435	"43"	2	"2020-03-19"	0	0	3	0
436	"44"	0	"2020-03-19"	24	6	9	1
437	"44"	1	"2020-03-19"	17	4	5	0
438	"44"	2	"2020-03-19"	7	2	4	1
439	"45"	0	"2020-03-19"	9	3	0	0
440	"45"	1	"2020-03-19"	6	3	0	0
441	"45"	2	"2020-03-19"	3	0	0	0
442	"46"	0	"2020-03-19"	0	0	1	0
443	"46"	1	"2020-03-19"	0	0	0	0
444	"46"	2	"2020-03-19"	0	0	1	0
445	"47"	0	"2020-03-19"	10	1	1	0
446	"47"	1	"2020-03-19"	7	1	1	0
447	"47"	2	"2020-03-19"	3	0	0	0
448	"48"	0	"2020-03-19"	1	0	0	0
449	"48"	1	"2020-03-19"	0	0	0	0
450	"48"	2	"2020-03-19"	1	0	0	0
451	"49"	0	"2020-03-19"	16	3	28	0
452	"49"	1	"2020-03-19"	7	2	17	0
453	"49"	2	"2020-03-19"	9	1	11	0
454	"50"	0	"2020-03-19"	6	0	2	0
455	"50"	1	"2020-03-19"	3	0	1	0
456	"50"	2	"2020-03-19"	3	0	1	0
457	"51"	0	"2020-03-19"	39	7	14	2
458	"51"	1	"2020-03-19"	21	4	6	1
459	"51"	2	"2020-03-19"	18	3	8	1
460	"52"	0	"2020-03-19"	4	0	0	1
461	"52"	1	"2020-03-19"	2	0	0	0
462	"52"	2	"2020-03-19"	2	0	0	1
463	"53"	0	"2020-03-19"	5	1	3	0
464	"53"	1	"2020-03-19"	4	1	1	0
465	"53"	2	"2020-03-19"	1	0	2	0
466	"54"	0	"2020-03-19"	54	23	1	6
467	"54"	1	"2020-03-19"	31	16	0	2
468	"54"	2	"2020-03-19"	20	6	1	4
469	"55"	0	"2020-03-19"	35	3	4	0
470	"55"	1	"2020-03-19"	17	0	1	0
471	"55"	2	"2020-03-19"	18	3	3	0
472	"56"	0	"2020-03-19"	42	12	53	9
473	"56"	1	"2020-03-19"	26	9	22	5
474	"56"	2	"2020-03-19"	16	3	31	4
475	"57"	0	"2020-03-19"	194	46	15	19
476	"57"	1	"2020-03-19"	109	36	8	8
477	"57"	2	"2020-03-19"	84	10	7	11
478	"58"	0	"2020-03-19"	0	0	0	0
479	"58"	1	"2020-03-19"	0	0	0	0
480	"58"	2	"2020-03-19"	0	0	0	0
481	"59"	0	"2020-03-19"	138	35	36	5
482	"59"	1	"2020-03-19"	83	27	23	3
483	"59"	2	"2020-03-19"	55	8	13	2
484	"60"	0	"2020-03-19"	109	21	23	14
485	"60"	1	"2020-03-19"	59	15	15	9
486	"60"	2	"2020-03-19"	50	6	8	5
487	"61"	0	"2020-03-19"	2	0	3	0
488	"61"	1	"2020-03-19"	1	0	1	0
489	"61"	2	"2020-03-19"	1	0	2	0
490	"62"	0	"2020-03-19"	30	11	25	0
491	"62"	1	"2020-03-19"	18	8	15	0
492	"62"	2	"2020-03-19"	12	3	10	0
493	"63"	0	"2020-03-19"	9	1	4	0
494	"63"	1	"2020-03-19"	7	1	2	0
495	"63"	2	"2020-03-19"	2	0	2	0
496	"64"	0	"2020-03-19"	9	0	1	0
497	"64"	1	"2020-03-19"	5	0	0	0
498	"64"	2	"2020-03-19"	4	0	1	0
499	"65"	0	"2020-03-19"	2	1	0	0
500	"65"	1	"2020-03-19"	2	1	0	0
501	"65"	2	"2020-03-19"	0	0	0	0
502	"66"	0	"2020-03-19"	19	11	3	3
503	"66"	1	"2020-03-19"	9	7	2	1
504	"66"	2	"2020-03-19"	10	4	1	2
505	"67"	0	"2020-03-19"	302	82	13	18
506	"67"	1	"2020-03-19"	159	59	8	9
507	"67"	2	"2020-03-19"	137	23	5	9
508	"68"	0	"2020-03-19"	437	73	131	91
509	"68"	1	"2020-03-19"	241	49	75	47
510	"68"	2	"2020-03-19"	192	24	54	43
511	"69"	0	"2020-03-19"	210	33	48	12
512	"69"	1	"2020-03-19"	35	6	6	0
513	"69"	2	"2020-03-19"	24	5	11	1
514	"70"	0	"2020-03-19"	14	3	3	0
515	"70"	1	"2020-03-19"	7	1	0	0
516	"70"	2	"2020-03-19"	7	2	3	0
517	"71"	0	"2020-03-19"	48	3	7	5
518	"71"	1	"2020-03-19"	19	3	2	3
519	"71"	2	"2020-03-19"	29	0	5	2
520	"72"	0	"2020-03-19"	8	0	5	0
521	"72"	1	"2020-03-19"	2	0	2	0
522	"72"	2	"2020-03-19"	6	0	3	0
523	"73"	0	"2020-03-19"	10	2	5	0
524	"73"	1	"2020-03-19"	4	2	2	0
525	"73"	2	"2020-03-19"	6	0	3	0
526	"74"	0	"2020-03-19"	37	11	49	6
527	"74"	1	"2020-03-19"	21	8	27	2
528	"74"	2	"2020-03-19"	10	0	20	4
529	"75"	0	"2020-03-19"	453	122	62	22
530	"75"	1	"2020-03-19"	279	85	31	16
531	"75"	2	"2020-03-19"	170	37	30	6
532	"76"	0	"2020-03-19"	33	4	3	4
533	"76"	1	"2020-03-19"	20	3	1	4
534	"76"	2	"2020-03-19"	13	1	2	0
535	"77"	0	"2020-03-19"	48	13	15	0
536	"77"	1	"2020-03-19"	31	10	7	0
537	"77"	2	"2020-03-19"	17	3	8	0
538	"78"	0	"2020-03-19"	92	20	7	6
539	"78"	1	"2020-03-19"	50	13	2	5
540	"78"	2	"2020-03-19"	42	7	5	1
541	"79"	0	"2020-03-19"	3	1	3	0
542	"79"	1	"2020-03-19"	1	1	1	0
543	"79"	2	"2020-03-19"	2	0	2	0
544	"80"	0	"2020-03-19"	74	23	12	2
545	"80"	1	"2020-03-19"	38	15	7	1
546	"80"	2	"2020-03-19"	35	8	5	1
547	"81"	0	"2020-03-19"	5	1	2	0
548	"81"	1	"2020-03-19"	2	0	2	0
549	"81"	2	"2020-03-19"	3	1	0	0
550	"82"	0	"2020-03-19"	1	0	0	1
551	"82"	1	"2020-03-19"	0	0	0	1
552	"82"	2	"2020-03-19"	1	0	0	0
553	"83"	0	"2020-03-19"	27	13	86	2
554	"83"	1	"2020-03-19"	20	10	41	1
555	"83"	2	"2020-03-19"	7	3	45	1
556	"84"	0	"2020-03-19"	12	4	9	1
